"idlowongan","namalowongan","deskripsi_loker","kategorilokasi","gaji_awal","gaji_akhir","status_loker","kuota","idkategori_loker","kategori_loker"
"33","Customer Service","<h3><strong>Job Description / Tanggung Jawab:</strong></h3><ul><li>Melakukan audit dan verifikasi data merchant secara akurat</li><li>Memeriksa kelengkapan dan kejelasan logo merchant</li><li>Memastikan alamat merchant lengkap (kecamatan, kabupaten/kota, jalan, dan detail lainnya)</li><li>Memverifikasi kategori usaha serta informasi kontak merchant</li><li>Memastikan kelengkapan foto merchant dan informasi pendukung (termasuk link Google Business)</li><li>Menginput dan mengelola data menggunakan Excel secara rapi dan akurat</li><li>Memperbarui data merchant sesuai hasil verifikasi (sesuai/tidak sesuai)</li><li>Mendukung proses audit untuk memastikan seluruh data valid, asli, dan sesuai standar perusahaan.</li></ul><h3><strong>Kualifikasi:</strong></h3><ul><li>Diutamakan perempuan</li><li>Pendidikan minimal SMA/SMK atau sederajat</li><li>Teliti, detail-oriented, dan memiliki kemampuan administrasi yang baik</li><li>Mampu mengoperasikan Microsoft Excel dengan baik</li><li>Memiliki kemampuan analisa sederhana dan ketelitian tinggi</li><li>Disiplin, bertanggung jawab, dan mampu bekerja dalam tim</li><li>Memiliki komunikasi yang baik.</li></ul>","Dalam Negeri",,,"1","1","1","Software Engineer"
"34","Helper ( Staff Pendukung Operasional )","<h4><strong>Responsibilities</strong></h4><ul><li>Membantu pekerjaan utama tim operasional/produksi.</li><li>Menyiapkan alat dan bahan yang dibutuhkan.</li><li>Menjaga kebersihan dan kerapihan area kerja.</li><li>Mendukung proses produksi atau kegiatan operasional harian.</li><li>Melakukan pengecekan sederhana terhadap barang atau peralatan.</li><li>Melaksanakan instruksi atasan dengan cepat dan tepat.</li><li>Mematuhi prosedur keselamatan dan kesehatan kerja (K3).</li></ul><p>&nbsp;</p><h4><strong>Requirements</strong></h4><ul><li>Pendidikan minimal SMP/SMA/SMK.</li><li>Terbuka untuk fresh graduate (tidak wajib pengalaman).</li><li>Sehat jasmani dan mampu melakukan pekerjaan fisik.</li><li>Rajin, disiplin, dan bertanggung jawab.</li><li>Mampu bekerja secara individu maupun dalam tim.</li><li>Bersedia bekerja shift/lembur jika diperlukan.</li><li>Memiliki inisiatif dan kemauan belajar yang tinggi.</li></ul>","Dalam Negeri",,,"1","5","71","Administrative Staff"
"35","Staf Akunting","<ul><li>Mencatat transaksi keuangan harian (jurnal dan buku besar).</li><li>Menyusun laporan keuangan (neraca, laba rugi, dan arus kas).</li><li>Melakukan rekonsiliasi bank secara berkala.</li><li>Mengelola akun hutang (Account Payable/AP) dan piutang (Account Receivable/AR).</li><li>Memastikan pencatatan sesuai standar akuntansi (PSAK).</li><li>Menghitung dan melaporkan pajak perusahaan (PPN, PPh).</li><li>Mengontrol dan memonitor arus kas (cash flow) perusahaan.</li><li>Mengarsipkan dokumen keuangan secara rapi dan sistematis.</li></ul><h4><strong>Requirements</strong></h4><ul><li>Pendidikan minimal D3/S1 Akuntansi.</li><li>Memahami prinsip dasar akuntansi dan pelaporan keuangan.</li><li>Mampu mengoperasikan software akuntansi (Accurate, MYOB, SAP, atau sejenisnya).</li><li>Teliti, detail, dan memiliki kemampuan analisa yang baik.</li><li>Jujur dan memiliki integritas tinggi.</li><li>Memiliki pengalaman kerja minimal 2 tahun di bidang terkait.</li></ul>","Dalam Negeri",,,"1","3","71","Administrative Staff"
"36","Welder (Tukang Las)","<h4><strong>Responsibilities</strong></h4><ul><li>Melakukan proses pengelasan sesuai metode yang ditentukan (SMAW, TIG/GTAW, MIG/GMAW, dll.).</li><li>Membaca dan memahami gambar teknik atau blueprint sebelum proses kerja.</li><li>Memastikan hasil pengelasan sesuai standar kualitas dan keselamatan kerja.</li><li>Melakukan perbaikan (rework) jika hasil las tidak sesuai standar.</li><li>Menjaga dan merawat peralatan las agar tetap dalam kondisi baik.</li><li>Mematuhi prosedur K3 (Keselamatan dan Kesehatan Kerja) selama bekerja.</li></ul><h4><strong>Requirements</strong></h4><ul><li>Pendidikan minimal SMK (diutamakan jurusan teknik).</li><li>Memiliki pengalaman sebagai welder.</li><li>Mampu membaca gambar teknik.</li><li>Memiliki sertifikat welder menjadi nilai tambah.</li><li>Teliti, disiplin, dan mampu bekerja dalam tim.</li><li>Bersedia bekerja shift/lembur sesuai kebutuhan perusahaan.</li><li>Bersedia ditempatkan di Jakarta / Sukabumi.</li></ul>","Dalam Negeri",,,"1","5","37","Mechanical Engineer"
"37","Operator Mesin (Machine Operator)","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><p>&nbsp;</p><ul><li>Mengoperasikan mesin produksi sesuai dengan SOP yang berlaku.</li><li>Melakukan setting dan penyesuaian mesin sebelum proses produksi.</li><li>Memantau kinerja mesin selama proses produksi berlangsung.</li><li>Melakukan pengecekan kualitas hasil produksi.</li><li>Melakukan perawatan ringan pada mesin (cleaning dan pelumasan).</li><li>Menjaga kebersihan dan keamanan area kerja.</li><li>Mematuhi prosedur K3 (Keselamatan dan Kesehatan Kerja).</li></ul><h4>&nbsp;</h4><h4><strong>Kualifikasi</strong></h4><p>&nbsp;</p><ul><li>Pendidikan minimal SMK (diutamakan jurusan Teknik Mesin / Elektro / Industri).</li><li>Memahami dasar pengoperasian mesin produksi.</li><li>Mampu membaca instruksi kerja atau SOP.</li><li>Sehat jasmani dan bersedia bekerja shift.</li><li>Teliti, disiplin, dan bertanggung jawab.</li><li>Mampu bekerja dalam tim.</li><li>Pengalaman sebagai operator mesin menjadi nilai tambah (0–2 tahun / fresh graduate dipersilakan melamar).</li></ul>","Dalam Negeri",,,"1","5","37","Mechanical Engineer"
"38","Mandarin Interpreter","<ul><li>Menerjemahkan komunikasi lisan (Mandarin ↔ Indonesia/Inggris) secara langsung dalam meeting, briefing, atau aktivitas operasional</li><li>Menjadi penghubung komunikasi antara tenaga kerja lokal dan tenaga kerja asing (Tiongkok/Mandarin speaker)</li><li>Menerjemahkan dokumen tertulis seperti SOP, email, laporan, dan instruksi kerja</li><li>Membantu memastikan pesan yang disampaikan jelas, akurat, dan tidak menimbulkan miskomunikasi</li><li>Mendampingi aktivitas kerja harian yang membutuhkan penerjemahan (produksi, teknis, atau manajemen)</li><li>Membantu koordinasi antar tim terkait kebutuhan komunikasi bilingual</li><li>Menjaga kerahasiaan informasi perusahaan dalam proses penerjemahan</li><li>Membuat catatan atau laporan hasil terjemahan jika diperlukan</li></ul><h4><strong>Kualifikasi</strong></h4><ul><li>Menerjemahkan komunikasi lisan (Mandarin ↔ Indonesia/Inggris) secara langsung dalam meeting, briefing, atau aktivitas operasional</li><li>Menjadi penghubung komunikasi antara tenaga kerja lokal dan tenaga kerja asing (Tiongkok/Mandarin speaker)</li><li>Menerjemahkan dokumen tertulis seperti SOP, email, laporan, dan instruksi kerja</li><li>Membantu memastikan pesan yang disampaikan jelas, akurat, dan tidak menimbulkan miskomunikasi</li><li>Mendampingi aktivitas kerja harian yang membutuhkan penerjemahan (produksi, teknis, atau manajemen)</li><li>Membantu koordinasi antar tim terkait kebutuhan komunikasi bilingual</li><li>Menjaga kerahasiaan informasi perusahaan dalam proses penerjemahan</li><li>Membuat catatan atau laporan hasil terjemahan jika diperlukan</li></ul>","Dalam Negeri","5000000","10000000","1","5","35","Translator / Interpreter"
"39","Spesialis Akunting Keuangan","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Mengelola dan mencatat seluruh transaksi keuangan perusahaan secara akurat</li><li>Menyusun laporan keuangan (neraca, laba rugi, arus kas) secara periodik</li><li>Melakukan analisis laporan keuangan untuk mendukung pengambilan keputusan</li><li>Mengelola arus kas (cash flow) dan memastikan ketersediaan dana operasional</li><li>Melakukan rekonsiliasi bank dan kontrol terhadap transaksi keuangan</li><li>Mengelola akun hutang (AP) dan piutang (AR)</li><li>Menghitung, melaporkan, dan memastikan kepatuhan pajak (PPN, PPh, dll.)</li><li>Memastikan seluruh pencatatan sesuai standar akuntansi (PSAK)</li><li>Berkoordinasi dengan auditor internal maupun eksternal</li><li>Mengembangkan dan meningkatkan sistem serta prosedur keuangan perusahaan</li><li>Menyusun laporan dan analisis keuangan untuk manajemen</li></ul><h4><strong>Kualifikasi</strong></h4><ul><li>Pendidikan minimal S1 Akuntansi / Keuangan</li><li>Memiliki pengalaman minimal 2–5 tahun di bidang Accounting &amp; Finance</li><li>Memahami prinsip akuntansi, pelaporan keuangan, dan perpajakan</li><li>Mampu mengoperasikan software akuntansi (Accurate, SAP, MYOB, atau sejenisnya)</li><li>Memiliki kemampuan analisa yang kuat dan detail-oriented</li><li>Jujur, teliti, dan memiliki integritas tinggi</li><li>Mampu bekerja secara mandiri maupun dalam tim</li><li>Memiliki kemampuan komunikasi yang baik</li></ul>","Dalam Negeri","10000000","20000000","1","1","16","Finance / Treasury"
"40","Human Resources & General Admin","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Mengelola proses administrasi HR (absensi, data karyawan, kontrak kerja)</li><li>Mendukung proses rekrutmen (posting lowongan, screening CV, interview, onboarding)</li><li>Mengelola administrasi payroll dan benefit karyawan</li><li>Memastikan kepatuhan terhadap peraturan ketenagakerjaan yang berlaku</li><li>Mengelola kebutuhan General Affairs (ATK, fasilitas kantor, kendaraan operasional, dll.)</li><li>Mengatur dan memantau perawatan aset serta fasilitas kantor</li><li>Mengelola hubungan dengan vendor (outsourcing, kebersihan, keamanan, dll.)</li><li>Mendukung kegiatan internal perusahaan (training, event, dll.)</li><li>Menyusun laporan HR &amp; GA secara berkala</li><li>Menangani kebutuhan operasional kantor sehari-hari</li></ul><h4><strong>Kualifikasi</strong></h4><ul><li>Pendidikan minimal D3/S1 (diutamakan jurusan Psikologi, Manajemen SDM, atau terkait)</li><li>Memiliki pengalaman minimal 1–2 tahun di bidang HR/GA (fresh graduate dipertimbangkan)</li><li>Memahami dasar-dasar HR (rekrutmen, administrasi, payroll)</li><li>Mampu mengoperasikan Microsoft Office (terutama Excel &amp; Word)</li><li>Memiliki kemampuan komunikasi dan interpersonal yang baik</li><li>Teliti, disiplin, dan mampu multitasking</li><li>Memiliki inisiatif dan tanggung jawab tinggi</li><li>Mampu bekerja secara individu maupun tim</li></ul>","Dalam Negeri","4000000","7000000","1","1","67","HR Generalist / Manager"
"41","Admin Operasional","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Mengelola dan menginput data operasional secara akurat dan tepat waktu</li><li>Menyusun, memeriksa, dan mengarsipkan dokumen administrasi</li><li>Membuat laporan operasional harian, mingguan, dan bulanan</li><li>Berkoordinasi dengan tim internal terkait kebutuhan operasional</li><li>Memastikan kelengkapan data dan dokumen sesuai standar perusahaan</li><li>Melakukan monitoring dan update data secara berkala</li><li>Mendukung aktivitas operasional agar berjalan lancar</li><li>Mengoperasikan sistem atau tools administrasi perusahaan</li><li>Menangani tugas administratif lainnya sesuai kebutuhan</li></ul><h4>&nbsp;</h4><h4><strong>Kualifikasi</strong></h4><ul><li>Pendidikan minimal SMA/SMK/D3 (diutamakan jurusan terkait)</li><li>Memiliki pengalaman di bidang administrasi/operasional menjadi nilai tambah</li><li>Mampu mengoperasikan Microsoft Office (terutama Excel &amp; Word)</li><li>Teliti, rapi, dan memiliki kemampuan organisasi yang baik</li><li>Mampu bekerja dengan target dan deadline</li><li>Memiliki kemampuan komunikasi yang baik</li><li>Disiplin, bertanggung jawab, dan mampu bekerja dalam tim</li></ul>","Dalam Negeri","4000000","8000000","1","3","71","Administrative Staff"
"42","IT Spesialis","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Melakukan instalasi, konfigurasi, dan pemeliharaan hardware &amp; software</li><li>Mengelola jaringan komputer (LAN/WAN, internet, router, dll.)</li><li>Melakukan troubleshooting terhadap masalah sistem, jaringan, dan perangkat IT</li><li>Memastikan keamanan sistem dan data perusahaan (security &amp; backup)</li><li>Mengelola server, database, dan sistem internal perusahaan</li><li>Memberikan support teknis kepada user/internal tim (helpdesk)</li><li>Melakukan monitoring performa sistem dan jaringan</li><li>Mengembangkan atau melakukan improvement pada sistem IT perusahaan</li><li>Mendokumentasikan sistem, konfigurasi, dan prosedur IT</li></ul><h4><strong>Kualifikasi</strong></h4><ul><li>Pendidikan minimal D3/S1 Teknik Informatika / Sistem Informasi / sejenis</li><li>Memiliki pengalaman di bidang IT Support / System / Network minimal 1–3 tahun</li><li>Memahami dasar jaringan (TCP/IP, routing, switching)</li><li>Menguasai troubleshooting hardware &amp; software</li><li>Memahami sistem operasi (Windows/Linux)</li><li>Memiliki pengetahuan tentang keamanan IT menjadi nilai tambah</li><li>Mampu bekerja secara mandiri maupun dalam tim</li><li>Memiliki kemampuan analisa dan problem solving yang baik</li><li>Komunikatif dan responsif terhadap kebutuhan user</li></ul>","Dalam Negeri","5000000","10000000","1","1","14","Technical Support"
"43","Customer Service","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Menangani pertanyaan, keluhan, dan kebutuhan pelanggan melalui telepon, chat, atau email</li><li>Memberikan informasi produk/layanan secara jelas dan akurat</li><li>Menjaga kepuasan pelanggan dengan memberikan pelayanan yang cepat dan solutif</li><li>Mencatat dan mendokumentasikan setiap interaksi dengan pelanggan</li><li>Menindaklanjuti permasalahan pelanggan hingga terselesaikan</li><li>Berkoordinasi dengan tim terkait untuk penyelesaian masalah</li><li>Memastikan standar pelayanan perusahaan terpenuhi</li><li>Membuat laporan aktivitas dan feedback pelanggan</li></ul><h4><strong>Kualifikasi</strong></h4><ul><li>Pendidikan minimal S1</li><li>Memiliki kemampuan komunikasi yang baik (lisan &amp; tulisan)</li><li>Berpenampilan rapi dan sopan</li><li>Mampu mengoperasikan komputer (Microsoft Office dan aplikasi chat/email)</li><li>Memiliki kemampuan problem solving yang baik</li><li>Ramah, sabar, dan berorientasi pada pelayanan</li><li>Mampu bekerja dalam tim maupun individu</li><li>Pengalaman di bidang Customer Service menjadi nilai tambah</li></ul>","Dalam Negeri","4000000","8000000","1","3","83","Customer Service / Call Center"
"44","Manajer Penjualan","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Menyusun dan menjalankan strategi penjualan untuk mencapai target perusahaan</li><li>Memimpin, mengelola, dan mengembangkan tim sales</li><li>Menentukan target penjualan (revenue, volume, market share)</li><li>Melakukan monitoring dan evaluasi performa tim sales</li><li>Mengembangkan pasar baru serta menjaga hubungan dengan klien existing</li><li>Melakukan analisa pasar, kompetitor, dan tren industri</li><li>Berkoordinasi dengan tim marketing dan operasional untuk mendukung penjualan</li><li>Menyusun laporan penjualan dan forecasting secara berkala</li><li>Mengelola pipeline dan memastikan closing deal berjalan optimal</li><li>Memberikan training dan coaching kepada tim sales</li></ul><p>&nbsp;</p><h4>Kualifikasi</h4><ul><li>Pendidikan minimal S1 (diutamakan jurusan Manajemen, Marketing, atau terkait)</li><li>Pengalaman minimal 3–5 tahun di bidang sales, dengan pengalaman memimpin tim</li><li>Memiliki kemampuan leadership dan komunikasi yang baik</li><li>Berorientasi pada target dan hasil</li><li>Mampu melakukan analisa pasar dan strategi penjualan</li><li>Memiliki jaringan relasi yang luas menjadi nilai tambah</li><li>Mampu bekerja di bawah tekanan dan target</li><li>Memiliki kemampuan negosiasi dan closing yang baik</li></ul>","Dalam Negeri","10000000","20000000","1","1","21","Sales / Account Executive"
"45","General Admin","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Mengelola kebutuhan operasional kantor (ATK, perlengkapan, dan fasilitas)</li><li>Mengatur dan memantau perawatan gedung, aset, dan fasilitas perusahaan</li><li>Mengelola hubungan dengan vendor (kebersihan, keamanan, maintenance, dll.)</li><li>Mengatur penggunaan kendaraan operasional dan kebutuhan logistik</li><li>Memastikan lingkungan kerja aman, nyaman, dan sesuai standar</li><li>Mengelola administrasi aset dan inventaris perusahaan</li><li>Mendukung kegiatan operasional dan event internal perusahaan</li><li>Mengurus perizinan dan kebutuhan administrasi umum perusahaan</li><li>Melakukan pengadaan barang dan jasa sesuai kebutuhan perusahaan</li><li>Menyusun laporan terkait aktivitas GA secara berkala</li></ul><h4><strong>Kualifikasi</strong></h4><ul><li>Pendidikan minimal SMA/SMK/D3/S1 semua jurusan</li><li>Memiliki pengalaman di bidang General Affairs minimal 1–2 tahun</li><li>Mampu mengoperasikan Microsoft Office (Excel &amp; Word)</li><li>Memiliki kemampuan komunikasi dan negosiasi yang baik</li><li>Teliti, disiplin, dan mampu multitasking</li><li>Memiliki kemampuan koordinasi yang baik</li><li>Bertanggung jawab dan memiliki inisiatif tinggi</li><li>Mampu bekerja secara individu maupun tim</li></ul>","Dalam Negeri","6000000","12000000","1","1","37","Mechanical Engineer"
"46","Staf Pembelian / Purchasing Staff","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Berkoordinasi dengan supplier dan klien terkait kebutuhan pengadaan barang/part</li><li>Memantau status pengiriman barang (shipping) secara berkala</li><li>Menindaklanjuti kebutuhan part/material secara tepat waktu</li><li>Melakukan perencanaan pembelian berdasarkan stok gudang</li><li>Menyiapkan pengadaan barang untuk menjaga ketersediaan stok</li><li>Memastikan proses pembelian berjalan efektif dan efisien</li><li>Melaporkan progres pekerjaan secara rutin kepada atasan</li></ul><h4>&nbsp;</h4><h4><strong>Kualifikasi</strong></h4><ul><li>Mampu berbahasa Mandarin dan Indonesia (aktif)</li><li>Memiliki pengalaman di bidang purchasing/procurement</li><li>Proaktif, bertanggung jawab, dan memiliki inisiatif tinggi</li><li>Mampu bekerja sesuai arahan dan target yang diberikan</li><li>Memiliki kemampuan komunikasi dan koordinasi yang baik</li><li>Mampu melakukan monitoring dan follow-up pekerjaan secara tepat waktu</li></ul>","Dalam Negeri","8000000","15000000","1","1","21","Sales / Account Executive"
"47","Staf Penggajian / HR PAYROLL STAFF","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Mengelola dan menghitung payroll karyawan secara akurat dan tepat waktu</li><li>Mengurus pajak penghasilan karyawan (PPh 21) serta pelaporannya</li><li>Mengelola administrasi dan pembayaran BPJS Kesehatan &amp; Ketenagakerjaan</li><li>Memelihara data karyawan, absensi, dan payroll dalam sistem (HRIS)</li><li>Mendukung proses administrasi karyawan (onboarding, resign, kontrak, dan arsip data)</li><li>Berkoordinasi dengan tim finance terkait rekonsiliasi payroll dan laporan keuangan</li><li>Menjawab pertanyaan karyawan terkait gaji, benefit, dan jaminan sosial</li><li>Menjalankan tugas HR lainnya sesuai arahan atasan</li></ul><h4>&nbsp;</h4><h4><strong>Kualifikasi</strong></h4><ul><li>Memahami peraturan ketenagakerjaan Indonesia serta sistem payroll (PPh 21, BPJS, dll.)</li><li>Mahir menggunakan Microsoft Excel (VLOOKUP, Pivot Table, dll.)</li><li>Memiliki ketelitian tinggi dan kemampuan analisa data yang baik</li><li>Memiliki kemampuan komunikasi yang baik (Bahasa Inggris atau Mandarin menjadi nilai tambah)</li><li>Mampu bekerja secara sistematis, rapi, dan bertanggung jawab</li></ul>","Dalam Negeri","6000000","9000000","1","2","15","Accounting"
"48","Staf Manajemen Data Perlengkapan","<h4>Tugas &amp; Tanggung Jawab</h4><ul><li>Mengumpulkan, menginput, dan melakukan pengecekan data operasional peralatan (data kinerja, status, dan lokasi) secara rutin</li><li>Memantau kondisi perawatan/perbaikan mesin serta melaporkan jika terdapat kendala atau abnormalitas</li><li>Membuat dan memelihara data administrasi peralatan (asset list, maintenance record, usage record, dan laporan kerusakan)</li><li>Mendukung proses inventarisasi dan pengecekan peralatan</li><li>Mengelola dokumentasi serta pengarsipan data secara rapi dan sistematis</li><li>Melakukan update data pada sistem (HRIS / sistem manajemen peralatan)</li><li>Berkoordinasi dengan tim teknis terkait data dan kondisi peralatan</li></ul><h4>&nbsp;</h4><h4><strong>Kualifikasi</strong></h4><ul><li>Pendidikan minimal SMK/D3/S1 (diutamakan jurusan Teknik Mesin atau terkait)</li><li>Mahir menggunakan Microsoft Excel (VLOOKUP, Pivot Table, fungsi, dan pengolahan data)</li><li>Mampu berkomunikasi menggunakan Bahasa Mandarin atau Bahasa Inggris (minimal pasif/aktif kerja)</li><li>Teliti, detail-oriented, dan memiliki kemampuan administrasi yang baik</li><li>Mampu bekerja secara sistematis dan bertanggung jawab</li><li>Memiliki kemampuan komunikasi dan koordinasi yang baik</li></ul>","Dalam Negeri","7000000","12000000","1","1","71","Administrative Staff"
"49","Sales Used Equipment (Alat Berat & Kendaraan)","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Bertanggung jawab atas penjualan unit bekas (excavator, dump truck, pickup, dll.)</li><li>Mencari dan mengembangkan pelanggan baru (new customer acquisition)</li><li>Menjaga hubungan baik dengan pelanggan existing untuk kerja sama jangka panjang</li><li>Mengumpulkan informasi pasar terkait harga dan tren alat berat/kendaraan bekas</li><li>Melakukan analisa data penjualan dan tren harga untuk mendukung strategi sales</li><li>Menyusun laporan penjualan dan aktivitas market secara berkala</li><li>Berkoordinasi dengan tim internal terkait proses penjualan dan distribusi unit</li></ul><h4>&nbsp;</h4><h4><strong>Kualifikasi</strong></h4><ul><li>Pendidikan diutamakan jurusan Statistik, Administrasi, Komputer, Teknik Mesin, atau bidang terkait</li><li>Teliti, memiliki kemampuan analisa data yang baik, serta berpikir logis</li><li>Bertanggung jawab dan memiliki inisiatif tinggi</li><li>Mahir menggunakan Microsoft Excel (VLOOKUP, Pivot Table, fungsi, dan pengolahan data)</li><li>Memiliki kemampuan komunikasi yang baik</li><li>Mampu berbahasa Mandarin atau Bahasa Inggris sebagai bahasa kerja</li><li>Memiliki minat di bidang sales dan industri alat berat/kendaraan</li></ul>","Dalam Negeri","7000000","12000000","1","2","21","Sales / Account Executive"
"50","Admin Gudang","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Mengelola penerimaan, pengeluaran, dan pencatatan material/barang secara akurat</li><li>Memastikan kesesuaian antara data stok dan fisik barang (stock opname)</li><li>Melakukan pengecekan stok secara berkala serta menyusun laporan inventory</li><li>Mengatur penyimpanan barang agar rapi, aman, dan mudah diakses</li><li>Memantau keluar masuk barang serta kebutuhan material operasional</li><li>Menjaga kebersihan dan kerapihan area gudang</li><li>Membantu proses pemindahan barang dan retur material</li><li>Menjalankan tugas lain sesuai arahan atasan</li></ul><h4>&nbsp;</h4><h4><strong>Kualifikasi</strong></h4><ul><li>Pendidikan diutamakan jurusan Logistik, Manajemen Gudang, Supply Chain, Administrasi Bisnis, atau terkait</li><li>Mampu mengoperasikan Microsoft Excel dan software perkantoran lainnya</li><li>Memiliki kemampuan pengolahan dan pengelolaan data yang baik</li><li>Teliti, bertanggung jawab, dan memiliki kemampuan eksekusi yang baik</li><li>Disiplin dan mampu bekerja secara tim maupun individu</li><li>Memiliki pengalaman magang/kerja di gudang atau logistik menjadi nilai tambah</li></ul>","Dalam Negeri","4000000","8000000","1","10","71","Administrative Staff"
"51","Data System Support","<h4>Tugas &amp; Tanggung Jawab</h4><ul><li>Mendukung tim proyek dalam implementasi dan pengembangan sistem manajemen internal perusahaan</li><li>Memahami dan menguasai berbagai modul sistem (finance, equipment, parts, marketing, settlement, HR, dll.)</li><li>Berpartisipasi dalam proses testing, deployment, dan training user sistem</li><li>Menangani operasional harian serta maintenance sistem setelah implementasi</li><li>Mengatasi permasalahan teknis (troubleshooting) yang muncul dalam penggunaan sistem</li><li>Berkoordinasi dengan tim developer/vendor eksternal untuk pengembangan dan optimalisasi sistem</li><li>Menyusun dokumentasi seperti user manual, SOP, dan dokumen teknis lainnya</li><li>Bekerja sama dengan departemen lain terkait pengolahan data, manajemen akses (user authority), dan keamanan informasi</li></ul><h4>&nbsp;</h4><h4><strong>Kualifikasi</strong></h4><ul><li>Pendidikan diutamakan jurusan Teknik Informatika, Software Engineering, Sistem Informasi, Teknik Mesin, atau bidang terkait</li><li>Memahami sistem manajemen perusahaan (ERP, OA, atau sistem manajemen peralatan)</li><li>Memiliki pengalaman dalam implementasi sistem, testing, atau IT support menjadi nilai tambah</li><li>Mahir menggunakan Microsoft Office dan mampu membuat dokumentasi/prosedur kerja</li><li>Memiliki kemampuan komunikasi dan koordinasi yang baik</li><li>Mampu bekerja sama dengan tim internal maupun vendor eksternal</li><li>Mampu berbahasa Mandarin atau Bahasa Inggris sebagai bahasa kerja</li></ul>","Dalam Negeri","10000000","15000000","1","3","12","Network & System Administrator"
"52","Translator site","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Menerjemahkan komunikasi lisan antara tim lokal dan tenaga kerja asing (Mandarin ↔ Indonesia/Inggris) di area site</li><li>Membantu pengaturan dan penyampaian tugas kerja dari atasan kepada tim</li><li>Menerjemahkan dokumen kerja seperti SOP, instruksi kerja, dan laporan</li><li>Mendampingi aktivitas operasional harian di lapangan yang membutuhkan penerjemahan</li><li>Memastikan informasi tersampaikan dengan jelas, akurat, dan tidak menimbulkan miskomunikasi</li><li>Menjadi penghubung komunikasi antar tim di lingkungan kerja proyek</li><li>Membuat catatan atau laporan hasil terjemahan jika diperlukan</li></ul><h4>&nbsp;</h4><h4><strong>Kualifikasi</strong></h4><ul><li>Mampu menggunakan Bahasa Mandarin secara aktif untuk pengaturan tugas kerja dan penerjemahan</li><li>Memiliki kemampuan komunikasi yang baik dan jelas</li><li>Bersedia bekerja di lapangan (site/project)</li><li>Teliti, responsif, dan mampu bekerja dalam lingkungan dinamis</li><li>Mampu bekerja secara individu maupun tim</li><li>Pengalaman sebagai translator/interpreter menjadi nilai tambah</li></ul>","Dalam Negeri","9000000","15000000","1","4","35","Translator / Interpreter"
"53","Manajer Penjualan","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Menyusun dan menjalankan strategi penjualan untuk mencapai target perusahaan</li><li>Mengelola dan mengarahkan tim sales agar mencapai performa optimal</li><li>Mengembangkan dan menjaga hubungan dengan pelanggan (existing &amp; new clients)</li><li>Melakukan negosiasi serta menangani kontrak penjualan</li><li>Memantau dan menganalisis performa penjualan serta tren pasar</li><li>Menyusun laporan penjualan secara berkala</li><li>Berkoordinasi dengan tim internal untuk mendukung proses penjualan</li></ul><h4><strong>Kualifikasi</strong></h4><ul><li>Memiliki pengalaman kerja minimal 2 tahun di bidang penjualan</li><li>Memiliki kemampuan komunikasi yang sangat baik</li><li>Memiliki kepribadian ramah dan profesional</li><li>Mahir menggunakan komputer (Microsoft Office dan tools pendukung lainnya)</li><li>Mampu menangani dokumen umum seperti kontrak dan administrasi penjualan</li><li>Memiliki kemampuan negosiasi dan leadership yang baik</li><li>Berorientasi pada target dan hasil</li></ul>","Dalam Negeri",,,"1","7","21","Sales / Account Executive"
"54","Sales / Tenaga Penjualan","<h4><strong>Tugas &amp; Tanggung Jawab</strong></h4><ul><li>Mencari dan mengembangkan pelanggan baru</li><li>Menjaga hubungan baik dengan pelanggan existing</li><li>Menawarkan produk/layanan kepada calon pelanggan</li><li>Melakukan negosiasi dan closing penjualan</li><li>Menangani dokumen penjualan seperti penawaran dan kontrak</li><li>Mencapai target penjualan yang telah ditentukan</li><li>Membuat laporan aktivitas dan hasil penjualan</li><li>Berkoordinasi dengan tim internal terkait proses penjualan</li></ul><h4><strong>Kualifikasi</strong></h4><ul><li>Memiliki kemampuan komunikasi yang sangat baik</li><li>Memiliki kepribadian ramah dan profesional</li><li>Mahir menggunakan komputer (Microsoft Office dan tools pendukung)</li><li>Mampu menangani dokumen umum seperti kontrak</li><li>Memiliki kemampuan negosiasi yang baik</li><li>Berorientasi pada target dan hasil</li><li>Mampu bekerja secara individu maupun tim</li><li>Pengalaman di bidang sales menjadi nilai tambah</li></ul>","Dalam Negeri",,,"1","7","21","Sales / Account Executive"
